Hotel Name,City,Address,address line2,Address line3,,Address line4,,address 4,,Addres full
MAX ROYAL BELEK GOLF,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 00 00,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 717 00 00 
Regnum Carya Golf & Spa,Antalya,Kadriye Mahallesi, Üçgen Cd., 07500 Belek/Antalya,, Turkey,,+90 242 710 07 00,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 00 00 
Maxx Royal Kemer Resort,Kemer,Göynük Mahallesi, Başkomutan Atatürk Cd., 07994 Kemer/Antalya,, Turkey,,+90 242 815 30 00,, Üçgen Cd.  07500 Belek/Antalya  Turkey +90 242 710 07 00 
NG Phaselis Bay-Kemer,Kemer,Göynük Mahallesi, Başkomutan Atatürk Cd., 07994 Kemer/Antalya,, Turkey,,+90 242 824 75 00,, Başkomutan Atatürk Cd.  07994 Kemer/Antalya  Turkey +90 242 815 30 00 
Labranda Mares Marmaris,Marmaris,Siteler Mahallesi, 83. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 40 50,, Başkomutan Atatürk Cd.  07994 Kemer/Antalya  Turkey +90 242 824 75 00 
Tui Blue Grand Azur Marmaris,Marmaris,Siteler Mahallesi, 209. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 41 00,, 83. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 40 50 
Marmaris Bay Resort By Mp Hotels,Marmaris,Siteler Mahallesi, 236. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 42 00,, 209. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 41 00 
Blue Bay Platinum Hotel Marmaris,Marmaris,Siteler Mahallesi, 55. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 43 00,, 236. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 42 00 
Grand Yazici Marmaris Palace,Marmaris,Adaköy Mahallesi, 48700 Marmaris/Muğla, Turkey,,+90 252 455 55 00,,,, 55. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 43 00 
Green Nature Resort & Spa Marmaris,Marmaris,Sirinyer Mahallesi, 128. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 44 00,, 48700 Marmaris/Muğla  Turkey +90 252 455 55 00  
Green Nature Diamond Hotel Marmaris,Marmaris,Sirinyer Mahallesi, 138. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 45 00,, 128. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 44 00 
Turunc Resort Hotel Marmaris,Marmaris,Turunç Mahallesi, 48740 Marmaris/Muğla, Turkey,,+90 252 476 70 00,,,, 138. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 45 00 
Prime Beach Hotel Marmaris,Marmaris,Siteler Mahallesi, 45. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 46 00,, 48740 Marmaris/Muğla  Turkey +90 252 476 70 00  
Elegance Hotels International Marmaris,Marmaris,Siteler Mahallesi, 64. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 47 00,, 45. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 46 00 
Orka Lotus Beach Marmaris,Marmaris,Siteler Mahallesi, 58. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 48 00,, 64. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 47 00 
Fortezza Beach Resort Marmaris,Marmaris,Siteler Mahallesi, 118. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 49 00,, 58. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 48 00 
Casa De Maris Spa & Resort Hotel Marmaris,Marmaris,Hatipirimi Mahallesi, 135. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 455 55 55,, 118. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 49 00 
Turunc Premium Hotel Marmaris,Marmaris,Turunç Mahallesi, 48740 Marmaris/Muğla, Turkey,,+90 252 476 71 00,,,, 135. Sokak  48700 Marmaris/Muğla  Turkey +90 252 455 55 55 
Marti Resort Hotel Marmaris,Marmaris,Icmeler Mahallesi, 48720 Marmaris/Muğla, Turkey,,+90 252 455 30 00,,,, 48740 Marmaris/Muğla  Turkey +90 252 476 71 00  
Golden Rock Beach Hotel Marmaris,Marmaris,Siteler Mahallesi, 86. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 50 00,, 48720 Marmaris/Muğla  Turkey +90 252 455 30 00  
Grand Pasa Hotel Marmaris,Marmaris,Sirinyer Mahallesi, 100. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 51 00,, 86. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 50 00 
Cook's Club Adakoy Marmaris,Marmaris,Adaköy Mahallesi, 48700 Marmaris/Muğla, Turkey,,+90 252 455 56 00,,,, 100. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 51 00 
Voxx Marmaris Beach Hotel - Adult Only,Marmaris,Siteler Mahallesi, 68. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 52 00,, 48700 Marmaris/Muğla  Turkey +90 252 455 56 00  
Elizya Boutique Otel Marmaris,Marmaris,Siteler Mahallesi, 46. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 53 00,, 68. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 52 00 
Faros Premium Beach - Adults Only Marmaris,Marmaris,Siteler Mahallesi, 54. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 54 00,, 46. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 53 00 
Marti Hemithea Marmaris,Marmaris,Icmeler Mahallesi, 48720 Marmaris/Muğla, Turkey,,+90 252 455 31 00,,,, 54. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 54 00 
Perios Beach House - Adults Only Marmaris,Marmaris,Siteler Mahallesi, 72. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 55 00,, 48720 Marmaris/Muğla  Turkey +90 252 455 31 00  
Boho Garden Selimiye Marmaris,Marmaris,Selimiye Mahallesi, 48700 Marmaris/Muğla, Turkey,,+90 252 446 60 00,,,, 72. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 55 00 
Hotel Aqua - All Inclusive Marmaris,Marmaris,Siteler Mahallesi, 65. Sokak, 48700 Marmaris/Muğla,, Turkey,,+90 252 417 56 00,, 48700 Marmaris/Muğla  Turkey +90 252 446 60 00  
Base Selimiye Marmaris,Marmaris,Selimiye Mahallesi, 48700 Marmaris/Muğla, Turkey,,+90 252 446 61 00,,,, 65. Sokak  48700 Marmaris/Muğla  Turkey +90 252 417 56 00 
D Maris Bay Marmaris,Marmaris,Datça Yolu Üzeri, 48700 Marmaris/Muğla, Turkey,,+90 252 999 09 00,,,, 48700 Marmaris/Muğla  Turkey +90 252 446 61 00  
Club Tuana Fethiye,Fethiye,Yaniklar Köyü, 48300 Fethiye/Muğla, Turkey,,+90 252 614 15 15,,,, 48700 Marmaris/Muğla  Turkey +90 252 999 09 00  
Garcia Resort & Spa Fethiye,Fethiye,Ölüdeniz Mahallesi, 48300 Fethiye/Muğla, Turkey,,+90 252 617 00 00,,,, 48300 Fethiye/Muğla  Turkey +90 252 614 15 15  
Orka Sunlife Resort Hotel And Aquapark Fethiye,Fethiye,Ovacik Mahallesi, 48300 Fethiye/Muğla, Turkey,,+90 252 616 70 00,,,, 48300 Fethiye/Muğla  Turkey +90 252 617 00 00  
Ece Saray Marina & Resort - Special Class Fethiye,Fethiye,Karagözler Mah., Fevzi Çakmak Cd., 48300 Fethiye/Muğla,, Turkey,,+90 252 612 50 00,, 48300 Fethiye/Muğla  Turkey +90 252 616 70 00  
Lighthouse Natalia Aparts Fethiye,Fethiye,Ölüdeniz Mahallesi, 48300 Fethiye/Muğla, Turkey,,+90 252 617 01 01,,,, Fevzi Çakmak Cd.  48300 Fethiye/Muğla  Turkey +90 252 612 50 00 
Club Prive By Rixos Gocek Fethiye,Fethiye,Göcek Mahallesi, 48310 Fethiye/Muğla, Turkey,,+90 252 645 45 45,,,, 48300 Fethiye/Muğla  Turkey +90 252 617 01 01  
Rixos Premium Göcek Adult Only Fethiye,Fethiye,Göcek Mahallesi, 48310 Fethiye/Muğla, Turkey,,+90 252 645 44 44,,,, 48310 Fethiye/Muğla  Turkey +90 252 645 45 45  
Green Forest Holiday Village Fethiye,Fethiye,Ovacik Mahallesi, 48300 Fethiye/Muğla, Turkey,,+90 252 616 62 62,,,, 48310 Fethiye/Muğla  Turkey +90 252 645 44 44  
Club & Hotel Letoonia Fethiye,Fethiye,Ölüdeniz Mahallesi, 48300 Fethiye/Muğla, Turkey,,+90 252 617 02 02,,,, 48300 Fethiye/Muğla  Turkey +90 252 616 62 62  
Mimoza Hotel Fethiye,Fethiye,Çalis Plaji, 48300 Fethiye/Muğla, Turkey,,+90 252 613 03 03,,,, 48300 Fethiye/Muğla  Turkey +90 252 617 02 02  
Yasam Park Residence Fethiye,Fethiye,Çalis Plaji, 48300 Fethiye/Muğla, Turkey,,+90 252 613 04 04,,,, 48300 Fethiye/Muğla  Turkey +90 252 613 03 03  
Highclere Hotel And Spa (Adults Only) Fethiye,Fethiye,Ovacik Mahallesi, 48300 Fethiye/Muğla, Turkey,,+90 252 616 63 63,,,, 48300 Fethiye/Muğla  Turkey +90 252 613 04 04  
Fullmoon Camping Fethiye,Fethiye,Kabak Koyu, 48300 Fethiye/Muğla, Turkey,,+90 252 617 05 05,,,, 48300 Fethiye/Muğla  Turkey +90 252 616 63 63  
Salonika Suites Fethiye,Fethiye,Çalis Plaji, 48300 Fethiye/Muğla, Turkey,,+90 252 613 06 06,,,, 48300 Fethiye/Muğla  Turkey +90 252 617 05 05  
Iksirci Baba Hotel Fethiye,Fethiye,Ölüdeniz Mahallesi, 48300 Fethiye/Muğla, Turkey,,+90 252 617 06 06,,,, 48300 Fethiye/Muğla  Turkey +90 252 613 06 06  
Lov Faralya (+16 Adults Only) Fethiye,Fethiye,Faralya Köyü, 48300 Fethiye/Muğla, Turkey,,+90 252 642 12 34,,,, 48300 Fethiye/Muğla  Turkey +90 252 617 06 06  
Liberty Lykia Fethiye,Fethiye,Ölüdeniz Mahallesi, 48300 Fethiye/Muğla, Turkey,,+90 252 617 07 07,,,, 48300 Fethiye/Muğla  Turkey +90 252 642 12 34  
D Resort Gocek Fethiye,Fethiye,Göcek Mahallesi, 48310 Fethiye/Muğla, Turkey,,+90 252 645 25 25,,,, 48300 Fethiye/Muğla  Turkey +90 252 617 07 07  
Kayavillas Exclusive Fethiye,Fethiye,Ölüdeniz Mahallesi, 48300 Fethiye/Muğla, Turkey,,+90 252 617 08 08,,,, 48310 Fethiye/Muğla  Turkey +90 252 645 25 25  
Hzd Hostel Fethiye,Fethiye,Çalis Plaji, 48300 Fethiye/Muğla, Turkey,,+90 252 613 09 09,,,, 48300 Fethiye/Muğla  Turkey +90 252 617 08 08  
Jiva Beach Resort Fethiye,Fethiye,Yaniklar Köyü, 48300 Fethiye/Muğla, Turkey,,+90 252 614 18 18,,,, 48300 Fethiye/Muğla  Turkey +90 252 613 09 09  
Xanadu Island Hotel Bodrum,Bodrum,Cennet Koyu, 48400 Bodrum/Muğla, Turkey,,+90 252 311 03 03,,,, 48300 Fethiye/Muğla  Turkey +90 252 614 18 18  
Azure By Yelken Hotel Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 28 28,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 03 03  
Baia Bodrum Hotel Bodrum,Bodrum,Kızılağaç Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 12 34,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 28 28  
The Plaza Bodrum (Ex. Be Premium Bodrum),Bodrum,Adnan Menderes Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 00 00,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 12 34  
My Ella Resort & Spa Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 25 25,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 00 00  
Green Bay Resort & Spa Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 377 62 62,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 25 25  
Salmakis Resort & Spa Bodrum,Bodrum,Torba Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 367 18 00,,,, 48400 Bodrum/Muğla  Turkey +90 252 377 62 62  
Kadikale Resort Bodrum,Bodrum,Kadıkalesi Mevkii, 48990 Bodrum/Muğla, Turkey,,+90 252 382 22 22,,,, 48400 Bodrum/Muğla  Turkey +90 252 367 18 00  
Mirada Exclusive Bodrum Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 13 13,,,, 48990 Bodrum/Muğla  Turkey +90 252 382 22 22  
Arin Resort Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 26 26,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 13 13  
Bodrum Park Resort Hotel Bodrum,Bodrum,Adnan Menderes Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 14 14,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 26 26  
Armonia Holiday Village & Spa Bodrum,Bodrum,Güvercinlik Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 319 00 00,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 14 14  
Yasmin Bodrum Resort Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 27 27,,,, 48400 Bodrum/Muğla  Turkey +90 252 319 00 00  
Vogue Hotel Supreme Bodrum Bodrum,Bodrum,Kızılağaç Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 15 15,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 27 27  
Royal Asarlik Beach Hotel & Spa Bodrum,Bodrum,Adnan Menderes Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 16 16,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 15 15  
Blue Dreams Resort Bodrum,Bodrum,Torba Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 367 19 19,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 16 16  
Tui Magic Life Bodrum Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 17 17,,,, 48400 Bodrum/Muğla  Turkey +90 252 367 19 19  
Titanic Luxury Collection Bodrum Bodrum,Bodrum,Kızılağaç Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 18 18,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 17 17  
Kaya Palazzo Resort & Residences Le Chic Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 29 29,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 18 18  
Ramada Resort By Wyndham Bodrum Bodrum,Bodrum,Adnan Menderes Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 20 20,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 29 29  
Prive Hotel Bodrum ( Ex. Voyage Bodrum ) Bodrum,Bodrum,Torba Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 367 20 20,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 20 20  
Rixos Premium Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 30 30,,,, 48400 Bodrum/Muğla  Turkey +90 252 367 20 20  
Bodrium Hotel & Spa Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 22 22,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 30 30  
Kefaluka Resort Bodrum,Bodrum,Akyarlar Mah., 48960 Bodrum/Muğla, Turkey,,+90 252 393 80 00,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 22 22  
La Blanche Resort & Spa Bodrum,Bodrum,Torba Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 367 21 21,,,, 48960 Bodrum/Muğla  Turkey +90 252 393 80 00  
Very Chic Hotel - Adult Only Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 31 31,,,, 48400 Bodrum/Muğla  Turkey +90 252 367 21 21  
Doria Hotel Bodrum Bodrum,Bodrum,Adnan Menderes Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 23 23,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 31 31  
Hillstone Bodrum Hotel & Spa Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 32 32,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 23 23  
Labranda Tmt Bodrum Bodrum,Bodrum,Torba Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 367 22 22,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 32 32  
The Marmara Bodrum - Adult Only Bodrum,Bodrum,Sarnıç Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 311 25 25,,,, 48400 Bodrum/Muğla  Turkey +90 252 367 22 22  
Diamond Of Bodrum Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 26 26,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 25 25  
Selectum Colours Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 33 33,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 26 26  
Sianji Well-Being Resort Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 27 27,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 33 33  
Duja Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 34 34,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 27 27  
Senses Hotel Bodrum,Bodrum,Adnan Menderes Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 28 28,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 34 34  
Selectum Collection Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 35 35,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 28 28  
Azka Hotel Bodrum,Bodrum,Torba Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 367 23 23,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 35 35  
Kempinski Hotel Barbaros Bay Bodrum,Bodrum,Kızılburun Mevkii, 48400 Bodrum/Muğla, Turkey,,+90 252 311 03 00,,,, 48400 Bodrum/Muğla  Turkey +90 252 367 23 23  
Allium Bodrum Resort & Spa Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 29 29,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 03 00  
Le Meridien Bodrum Beach Resort Bodrum,Bodrum,Zeki Müren Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 30 30,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 29 29  
Lujo Hotel Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 36 36,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 30 30  
Mivara Luxury Bodrum Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 31 31,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 36 36  
Samara Hotel Bodrum,Bodrum,Adnan Menderes Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 32 32,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 31 31  
Delta Hotels By Marriott Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 37 37,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 32 32  
Radisson Collection Hotel Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 38 38,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 37 37  
Swissotel Resort Bodrum Beach Bodrum,Bodrum,Adnan Menderes Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 33 33,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 38 38  
Avantgarde Hotel Yalıkavak - Boutique Class Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 39 39,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 33 33  
Mandarin Oriental, Bodrum Bodrum,Bodrum,Cennet Koyu, 48400 Bodrum/Muğla,, Turkey,,+90 252 311 18 88,, 48990 Bodrum/Muğla  Turkey +90 252 385 39 39  
Mare Deluxe Residence Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 40 40,,,,Cennet Koyu  48400 Bodrum/Muğla  Turkey +90 252 311 18 88 
Kuum Hotel & Spa Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 34 34,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 40 40  
Voyage Torba Bodrum,Bodrum,Torba Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 367 24 24,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 34 34  
Palmalife Bodrum Resort & Spa Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 41 41,,,, 48400 Bodrum/Muğla  Turkey +90 252 367 24 24  
Casa Nonna Bodrum Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 35 35,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 41 41  
Doubletree By Hilton Bodrum Isil Club Resort Bodrum,Bodrum,Adnan Menderes Cd., 48400 Bodrum/Muğla, Turkey,,+90 252 313 36 36,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 35 35  
Root Redrock Yalikavak Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 42 42,,,, 48400 Bodrum/Muğla  Turkey +90 252 313 36 36  
Lvzz Hotel - Boutique Class- City Center Bodrum,Bodrum,Asmalimescit Mah. Mesrutiyet Cad. No:91, 34430 Bodrum/Muğla, Turkey,,+90 252 316 40 00,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 42 42  
Caresse, A Luxury Collection Resort & Spa, Bodrum Bodrum,Bodrum,Hacıahmetler Mevkii,, 48400 Bodrum/Muğla,, Turkey,+90 252 311 37 37, 34430 Bodrum/Muğla  Turkey +90 252 316 40 00  
Root Redrock Yalikavak Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 43 43,,,,Bodrum Hacıahmetler Mevkii  48400 Bodrum/Muğla  Turkey +90 252 311 37 37
Hilton Bodrum Turkbuku Resort & Spa Bodrum,Bodrum,Göltürkbükü Mah., 48400 Bodrum/Muğla, Turkey,,+90 252 311 38 38,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 43 43  
Sirene Luxury Hotel Bodrum Bodrum,Bodrum,Yalıkavak Mah., 48990 Bodrum/Muğla, Turkey,,+90 252 385 44 44,,,, 48400 Bodrum/Muğla  Turkey +90 252 311 38 38  
Aravi Hotel,Dubai,Al Barsha, Dubai, UAE,,+971 4 399 0000,,,, 48990 Bodrum/Muğla  Turkey +90 252 385 44 44  
Grand Excelsior Hotel,Dubai,Al Rigga Road, Deira, Dubai,, UAE,,+971 4 223 3000,, Dubai  UAE +971 4 399 0000  
Ramada Plaza,Dubai,Al Barsha 1, Dubai, UAE,,+971 4 341 9777,,,, Deira  Dubai  UAE +971 4 223 3000 
Queen Elizabeth 2,Dubai,Port Rashid, Dubai, UAE,,+971 4 526 8888,,,, Dubai  UAE +971 4 341 9777  
Courtyard Culture Village,Dubai,Al Jaddaf, Dubai, UAE,,+971 4 702 0000,,,, Dubai  UAE +971 4 526 8888  
Md Hotel By Gewan,Dubai,Al Barsha, Dubai, UAE,,+971 4 321 0000,,,, Dubai  UAE +971 4 702 0000  
Vintage Grand Hotel,Dubai,Al Rigga Road, Deira, Dubai,, UAE,,+971 4 229 9911,, Dubai  UAE +971 4 321 0000  
Premier Inn Dubai Barsha Heights,Dubai,Barsha Heights (Tecom), Dubai, UAE,,+971 4 430 7444,,,, Deira  Dubai  UAE +971 4 229 9911 
Moscow Hotel,Dubai,Al Rigga Road, Deira, Dubai,, UAE,,+971 4 223 5000,, Dubai  UAE +971 4 430 7444  
Marco Polo Hotel,Dubai,Al Muteena Street, Deira, Dubai,, UAE,,+971 4 272 4433,, Deira  Dubai  UAE +971 4 223 5000 
Abjad Grand Hotel,Dubai,Al Barsha, Dubai, UAE,,+971 4 321 1111,,,, Deira  Dubai  UAE +971 4 272 4433 
Coral Dubai,Dubai,Al Muraqqabat Street, Deira, Dubai,, UAE,,+971 4 272 8866,, Dubai  UAE +971 4 321 1111  
Roda Amwaj Suites,Dubai,Jumeirah Beach Road, Dubai, UAE,,+971 4 316 6666,,,, Deira  Dubai  UAE +971 4 272 8866 
Avani Deira Dubai,Dubai,Al Mateena Street, Deira, Dubai,, UAE,,+971 4 337 9888,, Dubai  UAE +971 4 316 6666  
Carlton Downtown,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 356 0000,,,, Deira  Dubai  UAE +971 4 337 9888 
Avani Ibn Batuta,Dubai,Ibn Battuta Gate, Dubai, UAE,,+971 4 444 0000,,,, Dubai  UAE +971 4 356 0000  
Park Regis Business Bay Hotel,Dubai,Business Bay, Dubai, UAE,,+971 4 275 0000,,,, Dubai  UAE +971 4 444 0000  
Novotel Dubai Al Barsha,Dubai,Al Barsha, Dubai, UAE,,+971 4 304 9000,,,, Dubai  UAE +971 4 275 0000  
Elite Byblos Hotel,Dubai,Al Barsha, Dubai, UAE,,+971 4 301 0000,,,, Dubai  UAE +971 4 304 9000  
Carlton Palace,Dubai,Al Maktoum Road, Deira, Dubai,, UAE,,+971 4 295 0000,, Dubai  UAE +971 4 301 0000  
Millennium Al Barsha,Dubai,Al Barsha, Dubai, UAE,,+971 4 387 3300,,,, Deira  Dubai  UAE +971 4 295 0000 
Rove Dubai Marina,Dubai,Dubai Marina, Dubai, UAE,,+971 4 399 9111,,,, Dubai  UAE +971 4 387 3300  
Mercure Dubai Barsha Heights,Dubai,Barsha Heights, Dubai, UAE,,+971 4 377 7000,,,, Dubai  UAE +971 4 399 9111  
Millennium Central,Dubai,Al Barsha, Dubai, UAE,,+971 4 387 3100,,,, Dubai  UAE +971 4 377 7000  
Flora Creek Deluxe Hotel Apartments,Dubai,Baniyas Road, Deira, Dubai,, UAE,,+971 4 228 8888,, Dubai  UAE +971 4 387 3100  
Rove Downtown Dubai,Dubai,Burj Khalifa District, Dubai, UAE,,+971 4 558 0000,,,, Deira  Dubai  UAE +971 4 228 8888 
Crowne Plaza Dubai,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 331 1111,,,, Dubai  UAE +971 4 558 0000  
Four Points By Sheraton,Dubai,Sheikh Zayed Road, Dubai, UAE,,+971 4 323 0333,,,, Dubai  UAE +971 4 331 1111  
Holiday Inn Dubai Festival City,Dubai,Dubai Festival City, Dubai, UAE,,+971 4 607 0000,,,, Dubai  UAE +971 4 323 0333  
